"basin","wiki"
57001,Wawoi River
57000,Fly River
56015,Pulau River
55274,Sepik
55275,Ramu
56417,Markham River
54028,Mahakam River
13011,Onega River
10137,Kuloy River (White Sea)
10720,Zolotitsa River
10129,Strelna River
10127,Chavanga River
10125,Varzuga River
8962,Ponoy River
7820,Yokanga River
7817,Varzina River
6741,Voronya River
65398,Sundays River
64470,Umkomazi River
64617,Umzimkulu River
64763,Mtamvuna River
64905,Mzimvubu River
65043,Mbhashe River
66731,Santa Cruz River (Argentina)
66758,Coig River
65816,Bío Bío River
66051,Imperial River (Chile)
65625,Maule River
65546,Mataquito River
65345,Maipo River
65454,Rapel River
65112,Aconcagua River
64840,Choapa River
64548,Limarí River
64248,Elqui River
63937,Huasco River
63453,Copiapó River
64105,Abaucán River
60229,Lluta River
60044,Osmore River
59673,Colca River
59486,Ocoña River
58622,es:Río Pisco
58151,Rímac River
57996,Chillón River
57014,Santa River
56425,Jequetepeque River
53318,Esmeraldas River
52805,Patía River
52164,San Juan River (Colombia)
50695,Atrato River
49512,Tocuyo River
49909,Unare River
49908,Tuy River
49326,Ranchería River
48961,Río Grande de Matagalpa
47786,Aguán River
47782,Ulúa River
46912,Belize River
46644,Coatzacoalcos River
46397,Papaloapan River
24040,Munster Blackwater
21751,River Moy
21791,Pasłęka
21790,Nogat
21340,
21338,Reda (river)
21337,Łeba (river)
21336,Łupawa (river)
21335,Słupia
21784,Wieprza
21783,Parsęta
21781,
70632,
20901,
21776,Warnow
21332,
21782,Rega
19226,Venta (river)
19225,
18806,Stende (river)
18809,Salaca
18400,Pärnu (river)
17098,Luga River
15112,Karvianjoki
15626,Ljusnan
14587,Ljungan
14050,Indalsälven
14051,Ångerman
12978,Ume River
11856,Skellefte River
10692,Lule River
10695,Kalix River
10696,Keräsjoki
5770,Altaelva
17073,Drammenselva
8400,Indiga River
52626,Pahang River
51619,Kelantan River
50467,Tapi River, Thailand
52621,Asahan River
56762,Serayu River
56571,Kaso River (Sukabumi)
56393,Solo River
56769,Brantas River
59278,Victoria River (Northern Territory)
59275,Ord River
59275,Forrest River
59275,King River (Kimberley, Western Australia)
59275,Durack River
58762,Drysdale River
60880,Great Sandy Desert
60195,Tanami Desert
61826,Rudall River
65065,
65192,
64935,
65074,
64376,Bulloo River
62254,Fitzroy River (Queensland)
62788,Burnett River
60933,Burdekin River
59844,Gilbert River (Queensland)
60029,Norman River
59292,Mitchell River (Queensland)
59658,Staaten River
58954,Normanby River
58614,Archer River
58304,Pennefather River
58298,Liverpool River
58446,Finniss River (Northern Territory)
58292,Adelaide River
58293,Mary River (Northern Territory)
58294,Wildman River
62565,
62210,
61837,Lake Mackay
61452,
61070,
62198,
63229,
64173,
64475,
64764,Moore River
65512,Fitzgerald River
65413,Oldfield River
65416,
65418,
65307,
65191,
64919,
65055,
29612,Adige
29213,Sile (river)
29213,Livenza
29213,Piave (river)
29614,Mirna (Croatia)
29615,Raša (river)
35716,Seybouse River
32117,Klamath River
31403,Rogue River (Oregon)
30645,Umpqua River
20826,Winisk River
22599,Ekwan River
23987,Pontax River
23526,Eastmain River
20834,Great Whale River
17934,Leaf River (Quebec)
17056,Arnaud River
16567,Povungnituk River
30754,Kennebec River
30371,Penobscot River
29979,St. Croix River (Maine–New Brunswick)
29573,Magaguadavic River
27928,Miramichi River
27491,Malbaie River
27062,Saguenay River
26203,Manicouagan River
25362,Natashquan River
17474,Seal River (Manitoba)
5586,Colville River (Alaska)
5592,Sagavanirktok River
9251,Kobuk River
16431,Kuskokwim River
32495,Great Salt Lake
34270,Sevier Lake
33568,Humboldt Sink
32483,Quinn River
28524,Lake Alakol
39045,Siling Lake
39715,Namtso
39368,Taruo Lake
37763,Pangong Tso
38654,Gavkhouni
37400,Namak Lake
35100,Sefīd-Rūd
35090,Lake Urmia
34418,Lake Van
34234,Luan River
32977,Aoös
32977,Seman (river)
32618,Shkumbin
32618,Erzen
35755,Ceyhan River
35755,Seyhan River
54718,Mearim River
54719,Itapecuru River
54123,Gurupí River
39185,Altamaha River
40486,Suwannee River
39846,St. Johns River
39831,Pascagoula River
39829,Pearl River (Mississippi–Louisiana)
39837,Choctawhatchee River
39834,Perdido River
39834,Conecuh River
32603,Llobregat
34026,Júcar
49632,Awash River
36565,Geum River
36902,Nakdong River
36588,Tone River
37242,Tenryū River
34578,Mogami River
33897,Chongchon River
31755,Kiyevka River
31754,Partizanskaya River
31389,Милоградовка (река)
14876,Penzhina River
65978,Yarra River
65984,Snowy River
66256,Arthur River, Tasmania
66260,Tamar River
66369,River Derwent (Tasmania)
66330,Gordon River
66028,Glenelg River (Victoria)
66032,Hopkins River
66035,Barwon River (Victoria)
65977,Werribee River
65977,Maribyrnong River
45422,Cauto River
21606,Skeena River
16466,Copper River (Alaska)
65315,Broughton River (South Australia)
65518,Wakefield River
12945,Þjórsá
10069,Skjálfandafljót
10071,Jökulsá á Fjöllum
10670,Jökulsá á Dal
9412,Koukdjuak River
12887,Boas River
8810,Back River
9358,Burnside River
8199,Coppermine River
7049,Peel River (Canada)
6545,Hornaday River
6045,Horton River (Canada)
5597,Canning River (Alaska)
17812,Nushagak River
17814,Kvichak River
15454,Matanuska River
15454,Knik River
48903,Wadi Bana
48113,Haddas
48113,Aligide
48113,Comaile
47904,Wokiro River
35790,Neka
35790,Tajan
31930,Rioni
31930,Supsa
31930,Enguri
31930,Khobi
61943,Swakop River
60821,Hoanib
57779,Cuvo River
55367,Kouilou-Niari River
51681,Saint John River (Liberia)
51306,Lofa River
50927,Jong River
48590,Sine River
48590,Saloum River
48962,Casamance River
49151,Cacheu River
42591,Fuerte River
42604,Bolsón de Mapimí
